RIC,ISIN,Company Common Name,Country of Headquarters,Country of Exchange,TRBC Economic Sector Name,TRBC Economic Sector Code,TRBC Business Sector Name,TRBC Business Sector Code,TRBC Industry Group Name,TRBC Industry Group Code,TRBC Industry Name,TRBC Industry Code,TRBC Activity Name,TRBC Activity Code,Organization Founded Year
SYN1018.X,SY0000001018,Synthetic Firm 1018,Ireland,Ireland,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,0.0
SYN1019.X,SY0000001019,Synthetic Firm 1019,United Kingdom,United Kingdom,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,2005.0
SYN1020.X,SY0000001020,Synthetic Firm 1020,United Kingdom,United Kingdom,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1949.0
SYN1021.X,SY0000001021,Synthetic Firm 1021,Israel,Israel,Utilities,57.0,Utilities Services,57.0,Utilities Group,57.0,Utilities Industry,57.0,Utilities Activity,57.0,1999.0
SYN1022.X,SY0000001022,Synthetic Firm 1022,France,France,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,0.0
SYN1023.X,SY0000001023,Synthetic Firm 1023,Latvia,Latvia,Basic Materials,59.0,Basic Materials Services,59.0,Basic Materials Group,59.0,Basic Materials Industry,59.0,Basic Materials Activity,59.0,1994.0
SYN1024.X,SY0000001024,Synthetic Firm 1024,United Kingdom,United Kingdom,Energy,54.0,Energy Services,54.0,Energy Group,54.0,Energy Industry,54.0,Energy Activity,54.0,1980.0
SYN1025.X,SY0000001025,Synthetic Firm 1025,Hungary,Hungary,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,1979.0
SYN1026.X,SY0000001026,Synthetic Firm 1026,Greece,Greece,Real Estate,55.0,Real Estate Services,55.0,Real Estate Group,55.0,Real Estate Industry,55.0,Real Estate Activity,55.0,1943.0
SYN1027.X,SY0000001027,Synthetic Firm 1027,United Kingdom,United Kingdom,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,1926.0
SYN1028.X,SY0000001028,Synthetic Firm 1028,United Kingdom,United Kingdom,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,1936.0
SYN1029.X,SY0000001029,Synthetic Firm 1029,Romania,Romania,Basic Materials,59.0,Basic Materials Services,59.0,Basic Materials Group,59.0,Basic Materials Industry,59.0,Basic Materials Activity,59.0,2015.0
SYN1030.X,SY0000001030,Synthetic Firm 1030,United Kingdom,United Kingdom,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1958.0
SYN1031.X,SY0000001031,Synthetic Firm 1031,Turkey,Turkey,Real Estate,55.0,Real Estate Services,55.0,Real Estate Group,55.0,Real Estate Industry,55.0,Real Estate Activity,55.0,2000.0
SYN1032.X,SY0000001032,Synthetic Firm 1032,Sweden,Sweden,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,2010.0
SYN1033.X,SY0000001033,Synthetic Firm 1033,Germany,Germany,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,2020.0
SYN1034.X,SY0000001034,Synthetic Firm 1034,Turkey,Turkey,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,0.0
SYN1035.X,SY0000001035,Synthetic Firm 1035,Israel,Israel,Consumer Non-Cyclicals,52.0,Consumer Non-Cyclicals Services,52.0,Consumer Non-Cyclicals Group,52.0,Consumer Non-Cyclicals Industry,52.0,Consumer Non-Cyclicals Activity,52.0,1976.0
SYN1036.X,SY0000001036,Synthetic Firm 1036,Turkey,Turkey,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,2019.0
SYN1037.X,SY0000001037,Synthetic Firm 1037,Israel,Israel,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,1994.0
SYN1038.X,SY0000001038,Synthetic Firm 1038,Romania,Romania,Basic Materials,59.0,Basic Materials Services,59.0,Basic Materials Group,59.0,Basic Materials Industry,59.0,Basic Materials Activity,59.0,1956.0
SYN1039.X,SY0000001039,Synthetic Firm 1039,Sweden,Sweden,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1961.0
SYN1040.X,SY0000001040,Synthetic Firm 1040,Czechia,Czechia,Real Estate,55.0,Real Estate Services,55.0,Real Estate Group,55.0,Real Estate Industry,55.0,Real Estate Activity,55.0,1951.0
SYN1041.X,SY0000001041,Synthetic Firm 1041,Switzerland,Switzerland,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1959.0
SYN1042.X,SY0000001042,Synthetic Firm 1042,United Kingdom,United Kingdom,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1987.0
SYN1043.X,SY0000001043,Synthetic Firm 1043,Switzerland,Switzerland,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,2006.0
SYN1044.X,SY0000001044,Synthetic Firm 1044,United Kingdom,United Kingdom,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1968.0
SYN1045.X,SY0000001045,Synthetic Firm 1045,United Kingdom,United Kingdom,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,2009.0
SYN1046.X,SY0000001046,Synthetic Firm 1046,France,France,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,1974.0
SYN1047.X,SY0000001047,Synthetic Firm 1047,Sweden,Sweden,Healthcare,58.0,Healthcare Services,58.0,Healthcare Group,58.0,Healthcare Industry,58.0,Healthcare Activity,58.0,1994.0
SYN1048.X,SY0000001048,Synthetic Firm 1048,Belgium,Belgium,Consumer Non-Cyclicals,52.0,Consumer Non-Cyclicals Services,52.0,Consumer Non-Cyclicals Group,52.0,Consumer Non-Cyclicals Industry,52.0,Consumer Non-Cyclicals Activity,52.0,1969.0
SYN1049.X,SY0000001049,Synthetic Firm 1049,Luxembourg,Luxembourg,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1959.0
SYN1050.X,SY0000001050,Synthetic Firm 1050,Germany,Germany,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,2011.0
SYN1051.X,SY0000001051,Synthetic Firm 1051,France,France,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,2022.0
SYN1052.X,SY0000001052,Synthetic Firm 1052,United Kingdom,United Kingdom,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,1948.0
SYN1053.X,SY0000001053,Synthetic Firm 1053,United Kingdom,United Kingdom,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,1962.0
SYN1054.X,SY0000001054,Synthetic Firm 1054,United Kingdom,United Kingdom,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1966.0
SYN1055.X,SY0000001055,Synthetic Firm 1055,United Kingdom,United Kingdom,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,2003.0
SYN1056.X,SY0000001056,Synthetic Firm 1056,Denmark,Denmark,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1948.0
SYN1057.X,SY0000001057,Synthetic Firm 1057,United Kingdom,United Kingdom,Basic Materials,59.0,Basic Materials Services,59.0,Basic Materials Group,59.0,Basic Materials Industry,59.0,Basic Materials Activity,59.0,2012.0
SYN1058.X,SY0000001058,Synthetic Firm 1058,United Kingdom,United Kingdom,Basic Materials,59.0,Basic Materials Services,59.0,Basic Materials Group,59.0,Basic Materials Industry,59.0,Basic Materials Activity,59.0,1976.0
SYN1059.X,SY0000001059,Synthetic Firm 1059,Ireland,Ireland,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,1980.0
SYN1060.X,SY0000001060,Synthetic Firm 1060,France,France,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,1994.0
SYN1061.X,SY0000001061,Synthetic Firm 1061,Germany,Germany,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1983.0
SYN1062.X,SY0000001062,Synthetic Firm 1062,Austria,Austria,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,1968.0
SYN1063.X,SY0000001063,Synthetic Firm 1063,France,France,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,2025.0
SYN1064.X,SY0000001064,Synthetic Firm 1064,Switzerland,Switzerland,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,2005.0
SYN1065.X,SY0000001065,Synthetic Firm 1065,Switzerland,Switzerland,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1976.0
SYN1066.X,SY0000001066,Synthetic Firm 1066,Norway,Norway,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1942.0
SYN1067.X,SY0000001067,Synthetic Firm 1067,Ireland,Ireland,Basic Materials,59.0,Basic Materials Services,59.0,Basic Materials Group,59.0,Basic Materials Industry,59.0,Basic Materials Activity,59.0,1971.0
SYN1068.X,SY0000001068,Synthetic Firm 1068,Italy,Italy,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,1983.0
SYN1069.X,SY0000001069,Synthetic Firm 1069,Switzerland,Switzerland,Healthcare,58.0,Healthcare Services,58.0,Healthcare Group,58.0,Healthcare Industry,58.0,Healthcare Activity,58.0,2024.0
SYN1070.X,SY0000001070,Synthetic Firm 1070,Czechia,Czechia,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,1989.0
SYN1071.X,SY0000001071,Synthetic Firm 1071,United Kingdom,United Kingdom,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1975.0
SYN1072.X,SY0000001072,Synthetic Firm 1072,Norway,Norway,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,1970.0
SYN1073.X,SY0000001073,Synthetic Firm 1073,United Kingdom,United Kingdom,Energy,54.0,Energy Services,54.0,Energy Group,54.0,Energy Industry,54.0,Energy Activity,54.0,1973.0
SYN1074.X,SY0000001074,Synthetic Firm 1074,Switzerland,Switzerland,Consumer Non-Cyclicals,52.0,Consumer Non-Cyclicals Services,52.0,Consumer Non-Cyclicals Group,52.0,Consumer Non-Cyclicals Industry,52.0,Consumer Non-Cyclicals Activity,52.0,2023.0
SYN1075.X,SY0000001075,Synthetic Firm 1075,Netherlands,Netherlands,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1981.0
SYN1076.X,SY0000001076,Synthetic Firm 1076,France,France,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,1990.0
SYN1077.X,SY0000001077,Synthetic Firm 1077,Greece,Greece,Basic Materials,59.0,Basic Materials Services,59.0,Basic Materials Group,59.0,Basic Materials Industry,59.0,Basic Materials Activity,59.0,1944.0
SYN1078.X,SY0000001078,Synthetic Firm 1078,Sweden,Sweden,Real Estate,55.0,Real Estate Services,55.0,Real Estate Group,55.0,Real Estate Industry,55.0,Real Estate Activity,55.0,2000.0
SYN1079.X,SY0000001079,Synthetic Firm 1079,Turkey,Turkey,Basic Materials,59.0,Basic Materials Services,59.0,Basic Materials Group,59.0,Basic Materials Industry,59.0,Basic Materials Activity,59.0,2019.0
SYN1080.X,SY0000001080,Synthetic Firm 1080,Russia,Russia,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,1973.0
SYN1081.X,SY0000001081,Synthetic Firm 1081,Germany,Germany,Energy,54.0,Energy Services,54.0,Energy Group,54.0,Energy Industry,54.0,Energy Activity,54.0,2019.0
SYN1082.X,SY0000001082,Synthetic Firm 1082,Luxembourg,Luxembourg,Basic Materials,59.0,Basic Materials Services,59.0,Basic Materials Group,59.0,Basic Materials Industry,59.0,Basic Materials Activity,59.0,1971.0
SYN1083.X,SY0000001083,Synthetic Firm 1083,Switzerland,Switzerland,Basic Materials,59.0,Basic Materials Services,59.0,Basic Materials Group,59.0,Basic Materials Industry,59.0,Basic Materials Activity,59.0,1926.0
SYN1084.X,SY0000001084,Synthetic Firm 1084,Luxembourg,Luxembourg,Consumer Non-Cyclicals,52.0,Consumer Non-Cyclicals Services,52.0,Consumer Non-Cyclicals Group,52.0,Consumer Non-Cyclicals Industry,52.0,Consumer Non-Cyclicals Activity,52.0,1992.0
SYN1085.X,SY0000001085,Synthetic Firm 1085,Romania,Romania,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,2016.0
SYN1086.X,SY0000001086,Synthetic Firm 1086,Russia,Russia,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,1974.0
SYN1087.X,SY0000001087,Synthetic Firm 1087,Portugal,Portugal,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,2017.0
SYN1088.X,SY0000001088,Synthetic Firm 1088,Hungary,Hungary,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,2017.0
SYN1089.X,SY0000001089,Synthetic Firm 1089,Sweden,Sweden,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,2013.0
SYN1090.X,SY0000001090,Synthetic Firm 1090,Hungary,Hungary,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,1982.0
SYN1091.X,SY0000001091,Synthetic Firm 1091,Turkey,Turkey,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1942.0
SYN1092.X,SY0000001092,Synthetic Firm 1092,Czechia,Czechia,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,1992.0
SYN1093.X,SY0000001093,Synthetic Firm 1093,United Kingdom,United Kingdom,Healthcare,58.0,Healthcare Services,58.0,Healthcare Group,58.0,Healthcare Industry,58.0,Healthcare Activity,58.0,2005.0
SYN1094.X,SY0000001094,Synthetic Firm 1094,Greece,Greece,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1978.0
SYN1095.X,SY0000001095,Synthetic Firm 1095,Hungary,Hungary,Consumer Non-Cyclicals,52.0,Consumer Non-Cyclicals Services,52.0,Consumer Non-Cyclicals Group,52.0,Consumer Non-Cyclicals Industry,52.0,Consumer Non-Cyclicals Activity,52.0,2013.0
SYN1096.X,SY0000001096,Synthetic Firm 1096,United Kingdom,United Kingdom,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1965.0
SYN1097.X,SY0000001097,Synthetic Firm 1097,Poland,Poland,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,2008.0
SYN1098.X,SY0000001098,Synthetic Firm 1098,Germany,Germany,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,0.0
SYN1099.X,SY0000001099,Synthetic Firm 1099,United Kingdom,United Kingdom,Basic Materials,59.0,Basic Materials Services,59.0,Basic Materials Group,59.0,Basic Materials Industry,59.0,Basic Materials Activity,59.0,0.0
SYN1100.X,SY0000001100,Synthetic Firm 1100,Romania,Romania,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1984.0
SYN1101.X,SY0000001101,Synthetic Firm 1101,Sweden,Sweden,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,2007.0
SYN1102.X,SY0000001102,Synthetic Firm 1102,Sweden,Sweden,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,1953.0
SYN1103.X,SY0000001103,Synthetic Firm 1103,Germany,Germany,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,2004.0
SYN1104.X,SY0000001104,Synthetic Firm 1104,Sweden,Sweden,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,2010.0
SYN1105.X,SY0000001105,Synthetic Firm 1105,Turkey,Turkey,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,1954.0
SYN1106.X,SY0000001106,Synthetic Firm 1106,Finland,Finland,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,2011.0
SYN1107.X,SY0000001107,Synthetic Firm 1107,United Kingdom,United Kingdom,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1963.0
SYN1108.X,SY0000001108,Synthetic Firm 1108,Finland,Finland,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,2024.0
SYN1109.X,SY0000001109,Synthetic Firm 1109,France,France,Basic Materials,59.0,Basic Materials Services,59.0,Basic Materials Group,59.0,Basic Materials Industry,59.0,Basic Materials Activity,59.0,2010.0
SYN1110.X,SY0000001110,Synthetic Firm 1110,France,France,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,2006.0
SYN1111.X,SY0000001111,Synthetic Firm 1111,Sweden,Sweden,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,1944.0
SYN1112.X,SY0000001112,Synthetic Firm 1112,United Kingdom,United Kingdom,Utilities,57.0,Utilities Services,57.0,Utilities Group,57.0,Utilities Industry,57.0,Utilities Activity,57.0,2017.0
SYN1113.X,SY0000001113,Synthetic Firm 1113,United Kingdom,United Kingdom,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1992.0
SYN1114.X,SY0000001114,Synthetic Firm 1114,United Kingdom,United Kingdom,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,0.0
SYN1115.X,SY0000001115,Synthetic Firm 1115,United Kingdom,United Kingdom,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,1984.0
SYN1116.X,SY0000001116,Synthetic Firm 1116,France,France,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1966.0
SYN1117.X,SY0000001117,Synthetic Firm 1117,Sweden,Sweden,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1927.0
SYN1118.X,SY0000001118,Synthetic Firm 1118,Cyprus,Cyprus,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,1950.0
SYN1119.X,SY0000001119,Synthetic Firm 1119,United Kingdom,United Kingdom,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,1964.0
SYN1120.X,SY0000001120,Synthetic Firm 1120,Austria,Austria,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,2018.0
SYN1121.X,SY0000001121,Synthetic Firm 1121,United Kingdom,United Kingdom,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,1988.0
SYN1122.X,SY0000001122,Synthetic Firm 1122,Czechia,Czechia,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1991.0
SYN1123.X,SY0000001123,Synthetic Firm 1123,Switzerland,Switzerland,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,2006.0
SYN1124.X,SY0000001124,Synthetic Firm 1124,Germany,Germany,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1974.0
SYN1125.X,SY0000001125,Synthetic Firm 1125,Ireland,Ireland,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,2001.0
SYN1126.X,SY0000001126,Synthetic Firm 1126,Netherlands,Netherlands,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1983.0
SYN1127.X,SY0000001127,Synthetic Firm 1127,France,France,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1973.0
SYN1128.X,SY0000001128,Synthetic Firm 1128,Belgium,Belgium,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,2009.0
SYN1129.X,SY0000001129,Synthetic Firm 1129,Switzerland,Switzerland,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1963.0
SYN1130.X,SY0000001130,Synthetic Firm 1130,United Kingdom,United Kingdom,Real Estate,55.0,Real Estate Services,55.0,Real Estate Group,55.0,Real Estate Industry,55.0,Real Estate Activity,55.0,0.0
SYN1131.X,SY0000001131,Synthetic Firm 1131,Greece,Greece,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,2024.0
SYN1132.X,SY0000001132,Synthetic Firm 1132,France,France,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,2017.0
SYN1133.X,SY0000001133,Synthetic Firm 1133,Russia,Russia,Real Estate,55.0,Real Estate Services,55.0,Real Estate Group,55.0,Real Estate Industry,55.0,Real Estate Activity,55.0,2006.0
SYN1134.X,SY0000001134,Synthetic Firm 1134,Sweden,Sweden,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1961.0
SYN1135.X,SY0000001135,Synthetic Firm 1135,Sweden,Sweden,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,2004.0
SYN1136.X,SY0000001136,Synthetic Firm 1136,Switzerland,Switzerland,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,1978.0
SYN1137.X,SY0000001137,Synthetic Firm 1137,United Kingdom,United Kingdom,Consumer Non-Cyclicals,52.0,Consumer Non-Cyclicals Services,52.0,Consumer Non-Cyclicals Group,52.0,Consumer Non-Cyclicals Industry,52.0,Consumer Non-Cyclicals Activity,52.0,1920.0
SYN1138.X,SY0000001138,Synthetic Firm 1138,Germany,Germany,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,1968.0
SYN1139.X,SY0000001139,Synthetic Firm 1139,Austria,Austria,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,2005.0
SYN1140.X,SY0000001140,Synthetic Firm 1140,Sweden,Sweden,Healthcare,58.0,Healthcare Services,58.0,Healthcare Group,58.0,Healthcare Industry,58.0,Healthcare Activity,58.0,2025.0
SYN1141.X,SY0000001141,Synthetic Firm 1141,Netherlands,Netherlands,Healthcare,58.0,Healthcare Services,58.0,Healthcare Group,58.0,Healthcare Industry,58.0,Healthcare Activity,58.0,1952.0
SYN1142.X,SY0000001142,Synthetic Firm 1142,Switzerland,Switzerland,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1991.0
SYN1143.X,SY0000001143,Synthetic Firm 1143,Latvia,Latvia,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,0.0
SYN1144.X,SY0000001144,Synthetic Firm 1144,United Kingdom,United Kingdom,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,1978.0
SYN1145.X,SY0000001145,Synthetic Firm 1145,Germany,Germany,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,1929.0
SYN1146.X,SY0000001146,Synthetic Firm 1146,Finland,Finland,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,2019.0
SYN1147.X,SY0000001147,Synthetic Firm 1147,United Kingdom,United Kingdom,Real Estate,55.0,Real Estate Services,55.0,Real Estate Group,55.0,Real Estate Industry,55.0,Real Estate Activity,55.0,1982.0
SYN1148.X,SY0000001148,Synthetic Firm 1148,Turkey,Turkey,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,1989.0
SYN1149.X,SY0000001149,Synthetic Firm 1149,Norway,Norway,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1987.0
SYN1150.X,SY0000001150,Synthetic Firm 1150,Denmark,Denmark,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1995.0
